Var1,Var2,Var3,Var4,Var5,Var6
02261629370342,human_9_load,2.2,hk,0,0.000602121964297806
02261728380441,human_9_load,1.8,hk,1,0.000851596767644036
02261652080442,human_9_load,1.8,hk,0,0.000268970891983733
02261734080541,human_9_load,1.6,hk,1,0.00452401251993549
02261656130542,human_9_load,1.6,hk,0,0.0606175884566645
02261728110151,human_9_load,2.0754,ha,1,0.141379865604756
02261649160152,human_9_load,2.0754,ha,0,0.000101513543099285
02261714070251,human_9_load,2.1,ha,1,0.000206936705219014
02261654390252,human_9_load,2.1,ha,0,0.00675217566633929
02261729260351,human_9_load,2.2,ha,1,0.504476530575026
02261654400352,human_9_load,2.2,ha,0,0.00169389871652109
02261731040451,human_9_load,1.8,ha,1,0.170528347848615
02261654530452,human_9_load,1.8,ha,0,0.01032844057416
02261724310551,human_9_load,1.6,ha,1,0.00276437136907119
02261652360552,human_9_load,1.6,ha,0,0.00594342507261609
02261724510161,human_9_load,2.0754,ka,1,0.00382888499378242
02261657540162,human_9_load,2.0754,ka,0,0.00137617276667849
02261724300261,human_9_load,2.1,ka,1,0.0970324846673495
02261657190262,human_9_load,2.1,ka,0,0.0072367203016468
02261724060361,human_9_load,2.2,ka,1,0.0479099601571389
02261652580362,human_9_load,2.2,ka,0,0.000193554060179435
02261709120461,human_9_load,1.8,ka,1,0.0203590861024984
02261640020462,human_9_load,1.8,ka,0,0.0871164074935754
02261721270561,human_9_load,1.6,ka,1,0.017798831813234
02261648570562,human_9_load,1.6,ka,0,6.81052779528924e-05
02261716150101,human_9_exo_load,2.0754,base,1,0.00338787220676157
02261647460102,human_9_exo_load,2.0754,base,0,0.0128367437495926
02261710420201,human_9_exo_load,2.1,base,1,0.0574632815181719
02261643210202,human_9_exo_load,2.1,base,0,0.000565566217063116
02261719470301,human_9_exo_load,2.2,base,1,0.0437657351239457
02261652160302,human_9_exo_load,2.2,base,0,0.000953730878680239
02261718570401,human_9_exo_load,1.8,base,1,0.928010080571877
02261648270402,human_9_exo_load,1.8,base,0,0.000438318223619505
02261721590501,human_9_exo_load,1.6,base,1,0.000764515318597434
