fileName,modelName,hipLen,weight,kneeDir,constViolat
03201205190401,human_9_load3,1.8,base,1,0.00208359357928127
03201324130411,human_9_load3,1.8,hip,1,0.000474136884270292
03201314040421,human_9_load3,1.8,knee,1,1.04145211944129e-05
03201403260431,human_9_load3,1.8,ank,1,0.0081520852391094
03201318450441,human_9_load3,1.8,hk,1,0.000171404655287919
03201145290451,human_9_load3,1.8,ha,1,0.000215371618451217
03201350480461,human_9_load3,1.8,ka,1,0.009116855814708941
03201017250402,human_9_load3,1.8,base,0,5.625142423526e-05
03201126070412,human_9_load3,1.8,hip,0,0.00045895951940665
03221646480220,human_9_load3,1.8,knee,0,0.00924035850265516
03220601350230,human_9_load3,1.8,ank,0,0.00159695778294169
03220222220240,human_9_load3,1.8,hk,0,0.00027770120952622205
03221426210250,human_9_load3,1.8,ha,0,0.000137378912135704
03201143120462,human_9_load3,1.8,ka,0,3.0026553779356505e-05
03221423000201,human_9_exo_load,1.8,base,1,0.0030377781840571893
03201047060411,human_9_exo_load,1.8,hip,1,8.93268448537255e-05
03221438430221,human_9_exo_load,1.8,knee,1,0.00299974963949804
03201537460431,human_9_exo_load,1.8,ank,1,0.005500742285485439
03221410100241,human_9_exo_load,1.8,hk,1,0.000251948775934513
03221432050251,human_9_exo_load,1.8,ha,1,0.00137125584223701
03220437250261,human_9_exo_load,1.8,ka,1,1.4626203425735999e-05
03201223480402,human_9_exo_load,1.8,base,0,0.00300565950286291
03201006430412,human_9_exo_load,1.8,hip,0,0.0020977438668357802
03220157500220,human_9_exo_load,1.8,knee,0,0.004461319077346411
03201356290432,human_9_exo_load,1.8,ank,0,0.000155833326413346
03201503080442,human_9_exo_load,1.8,hk,0,9.01978699709316e-05
03201823250452,human_9_exo_load,1.8,ha,0,0.000171682413371908
03201241560462,human_9_exo_load,1.8,ka,0,0.0038085840487105103
03231831490201,human_9_exo_load2,1.8,base,1,0.000647074017113727
03220409250211,human_9_exo_load2,1.8,hip,1,0.00252877776856663
03201643450421,human_9_exo_load2,1.8,knee,1,3.86547474416399e-05
03220146070231,human_9_exo_load2,1.8,ank,1,0.00443217022577408
03221516400241,human_9_exo_load2,1.8,hk,1,0.0035520638079745296
03220143170251,human_9_exo_load2,1.8,ha,1,0.00014794329255053202
03202332430461,human_9_exo_load2,1.8,ka,1,0.00200764170964884
03201321330402,human_9_exo_load2,1.8,base,0,0.00588046960082023
03220154160210,human_9_exo_load2,1.8,hip,0,0.000101175301182539
03220331100220,human_9_exo_load2,1.8,knee,0,0.000290155499812377
03231817010230,human_9_exo_load2,1.8,ank,0,0.0005526582354448598
03201355540442,human_9_exo_load2,1.8,hk,0,0.00982427619459406
03220147430250,human_9_exo_load2,1.8,ha,0,0.0008364289722833808
03220140280260,human_9_exo_load2,1.8,ka,0,0.00286297217740053
