fileName,modelName,hipLen,weight,kneeDir,constViolat
02271715010502,human_9_load,1.6,base,0,2278.86524285841
02271714560111,human_9_load,2.0754,hip,1,1418.59191833068
02271714510112,human_9_load,2.0754,hip,0,2587.2113608083
02271715050211,human_9_load,2.1,hip,1,1434.62174543943
02271715000212,human_9_load,2.1,hip,0,2602.88725552918
02271714550311,human_9_load,2.2,hip,1,1499.7519936816
02271714490312,human_9_load,2.2,hip,0,2666.28023491582
02271715010411,human_9_load,1.8,hip,1,1238.62120501247
02271714560412,human_9_load,1.8,hip,0,2409.75852419013
02271714520511,human_9_load,1.6,hip,1,1107.13942191432
02271714470512,human_9_load,1.6,hip,0,2278.86524285841
02271715010121,human_9_load,2.0754,knee,1,1418.59191833068
02271714570122,human_9_load,2.0754,knee,0,2587.2113608083
02271714520221,human_9_load,2.1,knee,1,1434.62174543943
02271714480222,human_9_load,2.1,knee,0,2602.88725552918
02271715000321,human_9_load,2.2,knee,1,1499.7519936816
02271714550322,human_9_load,2.2,knee,0,2666.28023491582
02271714510421,human_9_load,1.8,knee,1,1238.62120501247
02271714470422,human_9_load,1.8,knee,0,2409.75852419013
02271715020521,human_9_load,1.6,knee,1,1107.13942191432
02271714570522,human_9_load,1.6,knee,0,2278.86524285841
02271714520131,human_9_load,2.0754,ank,1,1418.59191833068
02271714470132,human_9_load,2.0754,ank,0,2587.2113608083
02271715000231,human_9_load,2.1,ank,1,1434.62174543943
02271714560232,human_9_load,2.1,ank,0,2602.88725552918
02271714520331,human_9_load,2.2,ank,1,1499.7519936816
02271714470332,human_9_load,2.2,ank,0,2666.28023491582
02271715020431,human_9_load,1.8,ank,1,1238.62120501247
02271714570432,human_9_load,1.8,ank,0,2409.75852419013
02271714530531,human_9_load,1.6,ank,1,1107.13942191432
02271714480532,human_9_load,1.6,ank,0,2278.86524285841
02271715020141,human_9_load,2.0754,hk,1,1418.59191833068
02271714570142,human_9_load,2.0754,hk,0,2587.2113608083
02271714530241,human_9_load,2.1,hk,1,1434.62174543943
02271714480242,human_9_load,2.1,hk,0,2602.88725552918
02271715020341,human_9_load,2.2,hk,1,1499.7519936816
02271714570342,human_9_load,2.2,hk,0,2666.28023491582
02271714530441,human_9_load,1.8,hk,1,1238.62120501247
02271714480442,human_9_load,1.8,hk,0,2409.75852419013
02271715020541,human_9_load,1.6,hk,1,1107.13942191432
02271714570542,human_9_load,1.6,hk,0,2278.86524285841
02271714520151,human_9_load,2.0754,ha,1,1418.59191833068
02271714480152,human_9_load,2.0754,ha,0,2587.2113608083
02271715020251,human_9_load,2.1,ha,1,1434.62174543943
02271714570252,human_9_load,2.1,ha,0,2602.88725552918
02271714530351,human_9_load,2.2,ha,1,1499.7519936816
02271714480352,human_9_load,2.2,ha,0,2666.28023491582
02271715020451,human_9_load,1.8,ha,1,1238.62120501247
02271714570452,human_9_load,1.8,ha,0,2409.75852419013
02271714520551,human_9_load,1.6,ha,1,1107.13942191432
02271714470552,human_9_load,1.6,ha,0,2278.86524285841
02271715020161,human_9_load,2.0754,ka,1,1418.59191833068
02271714580162,human_9_load,2.0754,ka,0,2587.2113608083
02271714530261,human_9_load,2.1,ka,1,1434.62174543943
02271714480262,human_9_load,2.1,ka,0,2602.88725552918
