Var1,Var2,Var3,Var4,Var5,Var6
02270118100311,human_9_load,2.2,hip,1,1499.7519936816
02270118170312,human_9_load,2.2,hip,0,2666.28023491582
02270118130411,human_9_load,1.8,hip,1,1238.62120501247
02270118100412,human_9_load,1.8,hip,0,2409.75852419013
02270118180511,human_9_load,1.6,hip,1,1107.13942191432
02270118140512,human_9_load,1.6,hip,0,2278.86524285841
02270118100121,human_9_load,2.0754,knee,1,1418.59191833068
02270118160122,human_9_load,2.0754,knee,0,2587.2113608083
02270118130221,human_9_load,2.1,knee,1,1434.62174543943
02270118090222,human_9_load,2.1,knee,0,2602.88725552918
02270118180321,human_9_load,2.2,knee,1,1499.7519936816
02270118140322,human_9_load,2.2,knee,0,2666.28023491582
02270118100421,human_9_load,1.8,knee,1,1238.62120501247
02270118170422,human_9_load,1.8,knee,0,2409.75852419013
02270118140521,human_9_load,1.6,knee,1,1107.13942191432
02270118100522,human_9_load,1.6,knee,0,2278.86524285841
02270118160131,human_9_load,2.0754,ank,1,1418.59191833068
02270118130132,human_9_load,2.0754,ank,0,2587.2113608083
02270118100231,human_9_load,2.1,ank,1,1434.62174543943
02270118170232,human_9_load,2.1,ank,0,2602.88725552918
02270118140331,human_9_load,2.2,ank,1,1499.7519936816
02270118100332,human_9_load,2.2,ank,0,2666.28023491582
02270118170431,human_9_load,1.8,ank,1,1238.62120501247
02270118140432,human_9_load,1.8,ank,0,2409.75852419013
02270118100531,human_9_load,1.6,ank,1,1107.13942191432
02270118140532,human_9_load,1.6,ank,0,2278.86524285841
02270118110141,human_9_load,2.0754,hk,1,1418.59191833068
02270118080142,human_9_load,2.0754,hk,0,2587.2113608083
02270118130241,human_9_load,2.1,hk,1,1434.62174543943
02270118110242,human_9_load,2.1,hk,0,2602.88725552918
02270118080341,human_9_load,2.2,hk,1,1499.7519936816
02270118200342,human_9_load,2.2,hk,0,2666.28023491582
02270118160441,human_9_load,1.8,hk,1,1238.62120501247
02270118110442,human_9_load,1.8,hk,0,2409.75852419013
02270118220541,human_9_load,1.6,hk,1,1107.13942191432
02270118170542,human_9_load,1.6,hk,0,2278.86524285841
02270118120151,human_9_load,2.0754,ha,1,1418.59191833068
02270118220152,human_9_load,2.0754,ha,0,2587.2113608083
02270118170251,human_9_load,2.1,ha,1,1434.62174543943
02270118120252,human_9_load,2.1,ha,0,2602.88725552918
02270118240351,human_9_load,2.2,ha,1,1499.7519936816
02270118190352,human_9_load,2.2,ha,0,2666.28023491582
02270118140451,human_9_load,1.8,ha,1,1238.62120501247
02270118260452,human_9_load,1.8,ha,0,2409.75852419013
02270118200551,human_9_load,1.6,ha,1,1107.13942191432
02270118140552,human_9_load,1.6,ha,0,2278.86524285841
02270118200161,human_9_load,2.0754,ka,1,1418.59191833068
02270118160162,human_9_load,2.0754,ka,0,2587.2113608083
02270118110261,human_9_load,2.1,ka,1,1434.62174543943
02270118190262,human_9_load,2.1,ka,0,2602.88725552918
02270118150361,human_9_load,2.2,ka,1,1499.7519936816
02270118110362,human_9_load,2.2,ka,0,2666.28023491582
02270118230461,human_9_load,1.8,ka,1,1238.62120501247
02270118180462,human_9_load,1.8,ka,0,2409.75852419013
02270118130561,human_9_load,1.6,ka,1,1107.13942191432
02270118250562,human_9_load,1.6,ka,0,2278.86524285841
02270118180101,human_9_load2,2.0754,base,1,1418.59191833068
02270118120102,human_9_load2,2.0754,base,0,2587.2113608083
02270118190201,human_9_load2,2.1,base,1,1434.62174543943
02270118150202,human_9_load2,2.1,base,0,2602.88725552918
02270118110301,human_9_load2,2.2,base,1,1499.7519936816
