fileName,modelName,hipLen,weight,kneeDir,constViolate
02262318220341,human_9,2.2,hk,1,0.0848906764227099
02262248540342,human_9,2.2,hk,0,0.0021089579895616
02262218170441,human_9,1.8,hk,1,0.0062633506163754
02262152080442,human_9,1.8,hk,0,0.000271616406372999
02262119100541,human_9,1.6,hk,1,0.00293946219093612
02262051050542,human_9,1.6,hk,0,0.00269400791119746
02262020320151,human_9,2.0754,ha,1,0.004912833905334
02261951580152,human_9,2.0754,ha,0,4.94227587549356e-05
02270124520251,human_9,2.1,ha,1,0.00381630771853231
02270053300252,human_9,2.1,ha,0,0.00863400397363731
02270024120351,human_9,2.2,ha,1,0.0022312567571744
02270000060352,human_9,2.2,ha,0,0.0312598158640663
02262325210451,human_9,1.8,ha,1,0.00214250848896047
02262256550452,human_9,1.8,ha,0,0.00133341999946394
02262225200551,human_9,1.6,ha,1,7.26049382932793e-05
02262152010552,human_9,1.6,ha,0,4.37397829856567e-05
02262121520161,human_9,2.0754,ka,1,6.13987259482519e-05
02262054150162,human_9,2.0754,ka,0,0.0840184733084085
02262018270261,human_9,2.1,ka,1,0.000137835276507954
02261951280262,human_9,2.1,ka,0,0.000984212426144335
02270135240361,human_9,2.2,ka,1,0.00249561551408382
02270109000362,human_9,2.2,ka,0,3.18895464770552e-05
02270036110461,human_9,1.8,ka,1,1.43602868844028e-05
02270007440462,human_9,1.8,ka,0,0.00400662368871893
02262334270561,human_9,1.6,ka,1,0.000414519901034378
02262303100562,human_9,1.6,ka,0,0.00324639558573513
02262229490101,human_9_load,2.0754,base,1,0.00317749811878144
02262201310102,human_9_load,2.0754,base,0,0.000201018345502519
02262127530201,human_9_load,2.1,base,1,0.000958120254225365
02262059450202,human_9_load,2.1,base,0,0.00255347197636118
02262027310301,human_9_load,2.2,base,1,0.00380683473491477
02261953080302,human_9_load,2.2,base,0,0.000111386044020758
02270028390401,human_9_load,1.8,base,1,1.94131190020141e-05
02270013260402,human_9_load,1.8,base,0,0.18753301159306
02270004490501,human_9_load,1.6,base,1,0.00124300700023042
02262335260502,human_9_load,1.6,base,0,0.00266609351950042
02262305060111,human_9_load,2.0754,hip,1,0.0025547494127254
02262236490112,human_9_load,2.0754,hip,0,0.0597488256991691
02262203320211,human_9_load,2.1,hip,1,0.000153717425513251
02262132430212,human_9_load,2.1,hip,0,0.0055563066166194
02262120140311,human_9_load,2.2,hip,1,0.00631377458993558
02262045490312,human_9_load,2.2,hip,0,0.0411248244818154
02262012510411,human_9_load,1.8,hip,1,0.00160099812025958
02261954060412,human_9_load,1.8,hip,0,0.000169433404058634
02270132590511,human_9_load,1.6,hip,1,0.0115331715932317
02270104030512,human_9_load,1.6,hip,0,0.00144745443474686
02270037050121,human_9_load,2.0754,knee,1,0.000312248770172564
02270007540122,human_9_load,2.0754,knee,0,0.000276314691140891
02262337030221,human_9_load,2.1,knee,1,5.60214829487538e-05
02262307100222,human_9_load,2.1,knee,0,0.00703445485032611
02262233110321,human_9_load,2.2,knee,1,0.0013955942927949
02262200360322,human_9_load,2.2,knee,0,0.00113276380039946
02262127120421,human_9_load,1.8,knee,1,0.00189331223296935
02262059080422,human_9_load,1.8,knee,0,0.36182056640187
02262026190521,human_9_load,1.6,knee,1,0.00243544240187626
02261954000522,human_9_load,1.6,knee,0,0.0023275636349307
02270722130131,human_9_load,2.0754,ank,1,0.0639715110800586
02270656100132,human_9_load,2.0754,ank,0,0.00012059201350911
02270626510231,human_9_load,2.1,ank,1,0.352377037787967
02270555560232,human_9_load,2.1,ank,0,0.0268892603295513
02270525500331,human_9_load,2.2,ank,1,0.00224988233943594
02270453230332,human_9_load,2.2,ank,0,0.242260726177957
02270425400431,human_9_load,1.8,ank,1,0.000390963584193158
02270352490432,human_9_load,1.8,ank,0,4.29219758069088e-05
02270320520531,human_9_load,1.6,ank,1,0.000158733140080305
02270302330532,human_9_load,1.6,ank,0,0.0963091216711418
02270228070141,human_9_load,2.0754,hk,1,0.00183152319209575
02270200330142,human_9_load,2.0754,hk,0,0.00227557006677381
